Order ID,Order Date,Ship Mode,Customer Name,Segment,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Year,Month
ORD-00054,2021-02-08 17:01:28.244122,Standard Class,Customer_0169,Home Office,Central,Office Supplies,Storage,235.92,1,0.1,43.6,2021,2021-02
ORD-00055,2021-02-09 10:33:11.795897,Standard Class,Customer_0047,Home Office,West,Technology,Laptops,1212.0,1,0.1,146.97,2021,2021-02
ORD-00056,2021-02-10 04:04:55.347673,Second Class,Customer_0043,Corporate,South,Office Supplies,Art,316.09,3,0.0,69.28,2021,2021-02
ORD-00057,2021-02-10 21:36:38.899449,Standard Class,Customer_0221,Home Office,West,Office Supplies,Labels,108.17,1,0.2,5.94,2021,2021-02
ORD-00058,2021-02-11 15:08:22.451225,Standard Class,Customer_0001,Consumer,West,Technology,Accessories,4195.31,3,0.1,610.51,2021,2021-02
ORD-00059,2021-02-12 08:40:06.003001,Standard Class,Customer_0200,Home Office,Central,Office Supplies,Binders,162.28,1,0.0,47.81,2021,2021-02
ORD-00060,2021-02-13 02:11:49.554777,Standard Class,Customer_0144,Consumer,East,Furniture,Chairs,421.07,1,0.0,109.71,2021,2021-02
ORD-00061,2021-02-13 19:43:33.106553,Standard Class,Customer_0028,Consumer,South,Office Supplies,Art,640.01,3,0.2,56.73,2021,2021-02
ORD-00062,2021-02-14 13:15:16.658329,Standard Class,Customer_0278,Consumer,East,Technology,Copiers,1459.89,1,0.0,381.49,2021,2021-02
ORD-00063,2021-02-15 06:47:00.210105,Standard Class,Customer_0041,Consumer,West,Office Supplies,Storage,575.03,3,0.1,119.68,2021,2021-02
ORD-00064,2021-02-16 00:18:43.761880,Standard Class,Customer_0147,Consumer,South,Office Supplies,Binders,430.88,4,0.1,80.93,2021,2021-02
ORD-00065,2021-02-16 17:50:27.313656,Standard Class,Customer_0178,Consumer,East,Office Supplies,Storage,296.38,2,0.4,-14.08,2021,2021-02
ORD-00066,2021-02-17 11:22:10.865432,Standard Class,Customer_0167,Consumer,West,Office Supplies,Storage,273.74,3,0.0,81.23,2021,2021-02
ORD-00067,2021-02-18 04:53:54.417208,First Class,Customer_0123,Consumer,Central,Furniture,Furnishings,312.27,1,0.3,6.07,2021,2021-02
ORD-00068,2021-02-18 22:25:37.968984,Standard Class,Customer_0074,Corporate,East,Furniture,Chairs,949.97,1,0.0,226.84,2021,2021-02
ORD-00069,2021-02-19 15:57:21.520760,Standard Class,Customer_0239,Consumer,Central,Office Supplies,Labels,1118.47,4,0.0,308.32,2021,2021-02
ORD-00070,2021-02-20 09:29:05.072536,Standard Class,Customer_0249,Consumer,East,Furniture,Chairs,431.4,1,0.3,-8.26,2021,2021-02
ORD-00071,2021-02-21 03:00:48.624312,Standard Class,Customer_0263,Corporate,South,Technology,Laptops,7425.31,6,0.2,951.53,2021,2021-02
ORD-00072,2021-02-21 20:32:32.176088,Standard Class,Customer_0252,Home Office,South,Office Supplies,Storage,291.93,2,0.1,37.23,2021,2021-02
ORD-00073,2021-02-22 14:04:15.727863,Standard Class,Customer_0111,Corporate,Central,Office Supplies,Paper,495.67,3,0.0,126.51,2021,2021-02
ORD-00074,2021-02-23 07:35:59.279639,Second Class,Customer_0180,Consumer,West,Office Supplies,Art,156.79,1,0.1,26.2,2021,2021-02
ORD-00075,2021-02-24 01:07:42.831415,Standard Class,Customer_0188,Corporate,South,Technology,Phones,4487.45,4,0.0,1168.37,2021,2021-02
ORD-00076,2021-02-24 18:39:26.383191,Standard Class,Customer_0207,Consumer,Central,Furniture,Chairs,4789.77,5,0.3,-62.26,2021,2021-02
ORD-00077,2021-02-25 12:11:09.934967,First Class,Customer_0234,Consumer,Central,Furniture,Bookcases,634.45,1,0.0,184.58,2021,2021-02
ORD-00078,2021-02-26 05:42:53.486743,Same Day,Customer_0024,Consumer,East,Furniture,Bookcases,416.21,1,0.1,56.42,2021,2021-02
ORD-00079,2021-02-26 23:14:37.038519,Standard Class,Customer_0026,Corporate,South,Technology,Accessories,4793.66,3,0.1,1026.15,2021,2021-02
ORD-00080,2021-02-27 16:46:20.590295,Standard Class,Customer_0218,Consumer,Central,Furniture,Tables,1176.77,2,0.0,277.57,2021,2021-02
ORD-00081,2021-02-28 10:18:04.142071,Standard Class,Customer_0010,Consumer,West,Office Supplies,Binders,426.9,3,0.4,-30.3,2021,2021-02
ORD-00082,2021-03-01 03:49:47.693846,Standard Class,Customer_0017,Consumer,East,Technology,Phones,1260.68,1,0.0,342.75,2021,2021-03
ORD-00083,2021-03-01 21:21:31.245622,Standard Class,Customer_0245,Home Office,South,Office Supplies,Storage,763.68,3,0.0,184.19,2021,2021-03
ORD-00084,2021-03-02 14:53:14.797398,Standard Class,Customer_0206,Corporate,West,Furniture,Chairs,1782.43,2,0.2,207.47,2021,2021-03
ORD-00085,2021-03-03 08:24:58.349174,Second Class,Customer_0258,Consumer,South,Office Supplies,Art,158.65,2,0.5,-29.1,2021,2021-03
ORD-00086,2021-03-04 01:56:41.900950,Standard Class,Customer_0112,Corporate,Central,Office Supplies,Storage,840.27,3,0.0,201.21,2021,2021-03
ORD-00087,2021-03-04 19:28:25.452726,Standard Class,Customer_0205,Corporate,Central,Furniture,Bookcases,846.06,1,0.0,193.8,2021,2021-03
ORD-00088,2021-03-05 13:00:09.004502,Standard Class,Customer_0027,Corporate,West,Office Supplies,Storage,185.65,3,0.0,47.14,2021,2021-03
ORD-00089,2021-03-06 06:31:52.556278,First Class,Customer_0071,Consumer,West,Office Supplies,Binders,163.83,1,0.2,17.51,2021,2021-03
ORD-00090,2021-03-07 00:03:36.108054,Standard Class,Customer_0176,Home Office,South,Furniture,Bookcases,1145.43,2,0.2,141.57,2021,2021-03
ORD-00091,2021-03-07 17:35:19.659829,Second Class,Customer_0202,Consumer,West,Technology,Copiers,903.73,2,0.2,42.64,2021,2021-03
ORD-00092,2021-03-08 11:07:03.211605,Standard Class,Customer_0248,Corporate,Central,Furniture,Chairs,1085.98,3,0.0,253.79,2021,2021-03
ORD-00093,2021-03-09 04:38:46.763381,Standard Class,Customer_0118,Consumer,East,Office Supplies,Storage,194.56,1,0.2,22.29,2021,2021-03
ORD-00094,2021-03-09 22:10:30.315157,Standard Class,Customer_0009,Consumer,West,Office Supplies,Labels,718.4,3,0.0,172.23,2021,2021-03
ORD-00095,2021-03-10 15:42:13.866933,Standard Class,Customer_0086,Consumer,West,Office Supplies,Storage,562.27,2,0.0,148.42,2021,2021-03
ORD-00096,2021-03-11 09:13:57.418709,Standard Class,Customer_0023,Corporate,East,Furniture,Chairs,2437.93,3,0.0,631.8,2021,2021-03
ORD-00097,2021-03-12 02:45:40.970485,Standard Class,Customer_0240,Consumer,South,Office Supplies,Art,408.57,2,0.2,45.85,2021,2021-03
ORD-00098,2021-03-12 20:17:24.522261,Standard Class,Customer_0073,Corporate,East,Technology,Laptops,1563.77,1,0.1,334.01,2021,2021-03
ORD-00099,2021-03-13 13:49:08.074037,Second Class,Customer_0027,Consumer,East,Furniture,Furnishings,1221.33,2,0.0,336.42,2021,2021-03
ORD-00100,2021-03-14 07:20:51.625812,Standard Class,Customer_0081,Corporate,East,Technology,Laptops,1442.59,1,0.2,83.81,2021,2021-03
ORD-00101,2021-03-15 00:52:35.177588,Standard Class,Customer_0084,Corporate,East,Technology,Phones,1480.38,2,0.2,82.64,2021,2021-03
ORD-00102,2021-03-15 18:24:18.729364,Standard Class,Customer_0199,Corporate,East,Furniture,Tables,2881.55,3,0.0,611.49,2021,2021-03
ORD-00103,2021-03-16 11:56:02.281140,Second Class,Customer_0043,Corporate,South,Furniture,Furnishings,1192.52,1,0.0,323.4,2021,2021-03
ORD-00104,2021-03-17 05:27:45.832916,Same Day,Customer_0263,Corporate,East,Office Supplies,Paper,240.97,3,0.0,69.97,2021,2021-03
ORD-00105,2021-03-17 22:59:29.384692,Standard Class,Customer_0092,Consumer,East,Furniture,Tables,2540.57,3,0.4,-98.71,2021,2021-03
ORD-00106,2021-03-18 16:31:12.936468,Standard Class,Customer_0084,Corporate,West,Furniture,Bookcases,1401.27,3,0.3,-25.53,2021,2021-03
ORD-00107,2021-03-19 10:02:56.488244,Standard Class,Customer_0300,Consumer,South,Technology,Copiers,2028.75,3,0.0,458.22,2021,2021-03
ORD-00108,2021-03-20 03:34:40.040020,First Class,Customer_0296,Corporate,West,Furniture,Bookcases,905.74,1,0.1,192.3,2021,2021-03
ORD-00109,2021-03-20 21:06:23.591795,First Class,Customer_0135,Corporate,West,Technology,Phones,3197.65,3,0.2,283.93,2021,2021-03
ORD-00110,2021-03-21 14:38:07.143571,Standard Class,Customer_0281,Consumer,Central,Technology,Laptops,3988.29,5,0.0,834.07,2021,2021-03
ORD-00111,2021-03-22 08:09:50.695347,Standard Class,Customer_0059,Consumer,Central,Furniture,Bookcases,597.02,1,0.2,25.57,2021,2021-03
ORD-00112,2021-03-23 01:41:34.247123,Standard Class,Customer_0241,Consumer,East,Furniture,Bookcases,365.29,1,0.0,97.05,2021,2021-03
ORD-00113,2021-03-23 19:13:17.798899,Standard Class,Customer_0098,Corporate,East,Furniture,Tables,1889.29,2,0.3,-35.26,2021,2021-03
ORD-00114,2021-03-24 12:45:01.350675,Second Class,Customer_0062,Home Office,Central,Furniture,Tables,1044.67,1,0.0,252.8,2021,2021-03
ORD-00115,2021-03-25 06:16:44.902451,Standard Class,Customer_0264,Corporate,West,Furniture,Furnishings,3437.44,4,0.1,628.24,2021,2021-03
ORD-00116,2021-03-25 23:48:28.454227,Standard Class,Customer_0113,Corporate,South,Office Supplies,Storage,87.72,1,0.4,-4.23,2021,2021-03
ORD-00117,2021-03-26 17:20:12.006003,Second Class,Customer_0146,Home Office,Central,Furniture,Chairs,676.24,1,0.1,112.79,2021,2021-03
ORD-00118,2021-03-27 10:51:55.557778,First Class,Customer_0216,Consumer,East,Furniture,Furnishings,1268.38,1,0.1,248.9,2021,2021-03
ORD-00119,2021-03-28 04:23:39.109554,Standard Class,Customer_0256,Consumer,East,Technology,Phones,4956.26,3,0.1,662.24,2021,2021-03
ORD-00120,2021-03-28 21:55:22.661330,Second Class,Customer_0258,Corporate,West,Technology,Accessories,3356.83,2,0.0,683.54,2021,2021-03
ORD-00121,2021-03-29 15:27:06.213106,Standard Class,Customer_0194,Corporate,Central,Furniture,Chairs,731.08,2,0.5,-124.82,2021,2021-03
ORD-00122,2021-03-30 08:58:49.764882,First Class,Customer_0014,Home Office,East,Furniture,Bookcases,5785.99,4,0.0,1396.53,2021,2021-03
ORD-00123,2021-03-31 02:30:33.316658,First Class,Customer_0103,Consumer,East,Furniture,Bookcases,2105.43,4,0.4,-110.74,2021,2021-03
ORD-00124,2021-03-31 20:02:16.868434,Standard Class,Customer_0245,Consumer,Central,Furniture,Chairs,998.07,3,0.1,189.26,2021,2021-03
ORD-00125,2021-04-01 13:34:00.420210,Second Class,Customer_0245,Consumer,South,Furniture,Chairs,5159.75,4,0.0,1154.28,2021,2021-04
ORD-00126,2021-04-02 07:05:43.971985,First Class,Customer_0268,Consumer,East,Office Supplies,Binders,406.4,2,0.0,92.96,2021,2021-04
ORD-00127,2021-04-03 00:37:27.523761,Standard Class,Customer_0224,Consumer,South,Office Supplies,Storage,65.99,1,0.1,7.94,2021,2021-04
ORD-00128,2021-04-03 18:09:11.075537,Standard Class,Customer_0220,Corporate,East,Office Supplies,Paper,1162.97,4,0.0,282.25,2021,2021-04
ORD-00129,2021-04-04 11:40:54.627313,Second Class,Customer_0217,Consumer,West,Office Supplies,Art,173.02,1,0.1,23.27,2021,2021-04
ORD-00130,2021-04-05 05:12:38.179089,Standard Class,Customer_0004,Corporate,West,Technology,Phones,3850.84,6,0.1,756.52,2021,2021-04
ORD-00131,2021-04-05 22:44:21.730865,Standard Class,Customer_0036,Consumer,East,Technology,Accessories,1154.4,2,0.0,271.57,2021,2021-04
ORD-00132,2021-04-06 16:16:05.282641,First Class,Customer_0178,Corporate,West,Technology,Copiers,2136.07,2,0.0,491.42,2021,2021-04
ORD-00133,2021-04-07 09:47:48.834417,Second Class,Customer_0257,Consumer,West,Furniture,Furnishings,3122.86,5,0.2,184.98,2021,2021-04
ORD-00134,2021-04-08 03:19:32.386193,Standard Class,Customer_0017,Consumer,South,Office Supplies,Binders,985.97,5,0.0,242.06,2021,2021-04
ORD-00135,2021-04-08 20:51:15.937968,Standard Class,Customer_0199,Consumer,South,Technology,Accessories,1691.17,2,0.0,497.74,2021,2021-04
ORD-00136,2021-04-09 14:22:59.489744,Standard Class,Customer_0048,Home Office,Central,Office Supplies,Paper,128.8,1,0.3,-2.25,2021,2021-04
ORD-00137,2021-04-10 07:54:43.041520,Standard Class,Customer_0062,Corporate,West,Technology,Phones,5598.1,5,0.1,858.87,2021,2021-04
ORD-00138,2021-04-11 01:26:26.593296,Standard Class,Customer_0069,Consumer,West,Office Supplies,Binders,839.54,4,0.0,207.2,2021,2021-04
ORD-00139,2021-04-11 18:58:10.145072,Second Class,Customer_0147,Consumer,West,Furniture,Furnishings,2903.62,2,0.0,731.74,2021,2021-04
ORD-00140,2021-04-12 12:29:53.696848,Standard Class,Customer_0162,Home Office,Central,Technology,Laptops,2963.49,2,0.1,456.41,2021,2021-04
ORD-00141,2021-04-13 06:01:37.248624,Standard Class,Customer_0227,Consumer,South,Furniture,Furnishings,3294.73,3,0.0,893.77,2021,2021-04
ORD-00142,2021-04-13 23:33:20.800400,Standard Class,Customer_0230,Consumer,East,Technology,Phones,728.79,2,0.3,40.69,2021,2021-04
ORD-00143,2021-04-14 17:05:04.352176,Same Day,Customer_0178,Corporate,West,Technology,Accessories,3958.44,3,0.1,691.35,2021,2021-04
ORD-00144,2021-04-15 10:36:47.903951,Standard Class,Customer_0056,Home Office,East,Technology,Accessories,6744.01,4,0.0,1721.73,2021,2021-04
ORD-00145,2021-04-16 04:08:31.455727,Standard Class,Customer_0078,Consumer,East,Office Supplies,Storage,72.13,1,0.1,11.1,2021,2021-04
ORD-00146,2021-04-16 21:40:15.007503,Standard Class,Customer_0270,Consumer,East,Furniture,Bookcases,7442.08,6,0.0,1979.54,2021,2021-04
ORD-00147,2021-04-17 15:11:58.559279,Second Class,Customer_0206,Home Office,Central,Technology,Copiers,1768.98,1,0.1,278.62,2021,2021-04
ORD-00148,2021-04-18 08:43:42.111055,Second Class,Customer_0281,Consumer,Central,Furniture,Furnishings,2697.6,2,0.0,778.88,2021,2021-04
ORD-00149,2021-04-19 02:15:25.662831,Standard Class,Customer_0228,Consumer,West,Office Supplies,Art,625.78,5,0.0,127.59,2021,2021-04
ORD-00150,2021-04-19 19:47:09.214607,Standard Class,Customer_0239,Corporate,West,Technology,Laptops,4738.89,5,0.3,82.66,2021,2021-04
ORD-00151,2021-04-20 13:18:52.766383,Standard Class,Customer_0288,Home Office,South,Furniture,Tables,3830.75,4,0.3,58.51,2021,2021-04
ORD-00152,2021-04-21 06:50:36.318159,Standard Class,Customer_0082,Consumer,West,Technology,Accessories,2052.65,7,0.5,-236.15,2021,2021-04
ORD-00153,2021-04-22 00:22:19.869934,Standard Class,Customer_0250,Home Office,West,Technology,Copiers,2485.65,2,0.1,312.19,2021,2021-04
ORD-00154,2021-04-22 17:54:03.421710,Standard Class,Customer_0193,Corporate,West,Office Supplies,Binders,500.54,5,0.1,81.41,2021,2021-04
ORD-00155,2021-04-23 11:25:46.973486,Standard Class,Customer_0106,Consumer,West,Technology,Laptops,1168.07,2,0.4,-88.71,2021,2021-04
ORD-00156,2021-04-24 04:57:30.525262,Standard Class,Customer_0189,Home Office,East,Furniture,Chairs,3404.24,3,0.1,562.42,2021,2021-04
ORD-00157,2021-04-24 22:29:14.077038,Standard Class,Customer_0276,Consumer,South,Office Supplies,Labels,197.73,2,0.3,5.1,2021,2021-04
ORD-00158,2021-04-25 16:00:57.628814,Second Class,Customer_0074,Consumer,East,Technology,Laptops,1177.4,3,0.2,67.1,2021,2021-04
ORD-00159,2021-04-26 09:32:41.180590,Standard Class,Customer_0010,Corporate,East,Furniture,Chairs,1108.1,1,0.0,223.65,2021,2021-04
ORD-00160,2021-04-27 03:04:24.732366,Standard Class,Customer_0123,Consumer,Central,Technology,Phones,716.83,1,0.2,66.52,2021,2021-04
ORD-00161,2021-04-27 20:36:08.284142,Standard Class,Customer_0216,Consumer,East,Office Supplies,Binders,402.44,5,0.0,98.37,2021,2021-04
ORD-00162,2021-04-28 14:07:51.835917,Same Day,Customer_0290,Consumer,South,Furniture,Furnishings,1366.67,3,0.3,2.84,2021,2021-04
ORD-00163,2021-04-29 07:39:35.387693,First Class,Customer_0040,Consumer,South,Office Supplies,Binders,1536.38,7,0.2,114.07,2021,2021-04
ORD-00164,2021-04-30 01:11:18.939469,Standard Class,Customer_0193,Home Office,West,Furniture,Bookcases,166.58,1,0.5,-19.59,2021,2021-04
ORD-00165,2021-04-30 18:43:02.491245,Standard Class,Customer_0127,Corporate,Central,Technology,Copiers,779.44,1,0.0,189.1,2021,2021-04
ORD-00166,2021-05-01 12:14:46.043021,Standard Class,Customer_0289,Home Office,East,Furniture,Furnishings,1404.35,3,0.2,126.85,2021,2021-05
ORD-00167,2021-05-02 05:46:29.594797,Standard Class,Customer_0071,Consumer,South,Office Supplies,Storage,330.16,4,0.4,-7.19,2021,2021-05
ORD-00168,2021-05-02 23:18:13.146573,Standard Class,Customer_0137,Consumer,East,Furniture,Tables,273.75,1,0.2,15.56,2021,2021-05
ORD-00169,2021-05-03 16:49:56.698349,Second Class,Customer_0144,Consumer,South,Office Supplies,Art,146.21,1,0.2,7.21,2021,2021-05
ORD-00170,2021-05-04 10:21:40.250125,Standard Class,Customer_0299,Consumer,Central,Office Supplies,Labels,333.54,2,0.4,-8.51,2021,2021-05
ORD-00171,2021-05-05 03:53:23.801900,First Class,Customer_0269,Consumer,West,Technology,Copiers,878.9,2,0.0,255.65,2021,2021-05
ORD-00172,2021-05-05 21:25:07.353676,Standard Class,Customer_0139,Corporate,East,Technology,Laptops,518.8,1,0.1,82.15,2021,2021-05
ORD-00173,2021-05-06 14:56:50.905452,First Class,Customer_0052,Home Office,South,Furniture,Tables,2414.06,3,0.4,-201.22,2021,2021-05
ORD-00174,2021-05-07 08:28:34.457228,First Class,Customer_0017,Home Office,South,Furniture,Chairs,2244.25,7,0.0,661.53,2021,2021-05
ORD-00175,2021-05-08 02:00:18.009004,Standard Class,Customer_0165,Consumer,West,Office Supplies,Art,225.4,1,0.0,67.18,2021,2021-05
ORD-00176,2021-05-08 19:32:01.560780,Standard Class,Customer_0013,Home Office,Central,Office Supplies,Art,51.75,1,0.5,-7.42,2021,2021-05
ORD-00177,2021-05-09 13:03:45.112556,Standard Class,Customer_0190,Consumer,East,Furniture,Bookcases,1396.6,3,0.1,301.53,2021,2021-05
ORD-00178,2021-05-10 06:35:28.664332,Standard Class,Customer_0264,Consumer,West,Technology,Copiers,4550.78,4,0.1,734.62,2021,2021-05
ORD-00179,2021-05-11 00:07:12.216108,Standard Class,Customer_0221,Home Office,East,Office Supplies,Storage,402.07,3,0.5,-42.08,2021,2021-05
ORD-00180,2021-05-11 17:38:55.767883,Standard Class,Customer_0104,Corporate,West,Technology,Accessories,648.99,2,0.2,28.56,2021,2021-05
ORD-00181,2021-05-12 11:10:39.319659,Standard Class,Customer_0198,Consumer,South,Office Supplies,Labels,121.14,1,0.0,27.92,2021,2021-05
ORD-00182,2021-05-13 04:42:22.871435,Same Day,Customer_0300,Consumer,East,Furniture,Bookcases,837.28,2,0.0,171.0,2021,2021-05
ORD-00183,2021-05-13 22:14:06.423211,Standard Class,Customer_0169,Consumer,South,Furniture,Bookcases,1332.76,2,0.2,137.87,2021,2021-05
